# BUSCO version is: 4.0.4 
# The lineage dataset is: nematoda_odb10 (Creation date: 2019-11-20, number of species: 7, number of BUSCOs: 3131)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
0at6231	Complete	IV	11972696	11999434	10436.4	5685
4at6231	Complete	I	4386705	4401907	7630.3	3928	https://www.orthodb.org/v10?query=4at6231	Dynein heavy chain, cytoplasmic
6at6231	Complete	V	2781943	2808143	6074.2	3890
7at6231	Complete	III	10160666	10183529	5183.1	3183
9at6231	Complete	III	4525104	4536991	4253.4	3009
18at6231	Complete	I	8905646	8917359	4076.5	2564	https://www.orthodb.org/v10?query=18at6231	Vacuolar protein sorting-associated protein 13
19at6231	Complete	V	15498698	15511424	4637.3	2639	https://www.orthodb.org/v10?query=19at6231	putative scavenger receptor cysteine-rich domain protein
20at6231	Complete	II	11661583	11675927	4844.8	3375
21at6231	Complete	V	20879879	20898909	4739.4	2590
22at6231	Complete	I	11075759	11123240	3736.5	2171
23at6231	Complete	III	2658014	2680085	6571.2	3709
25at6231	Complete	X	14611288	14624858	3621.5	2277
28at6231	Complete	III	8164264	8172662	4759.1	2098
29at6231	Complete	V	13018825	13033367	3589.1	2151
31at6231	Complete	V	13692610	13703328	3498.4	2375
32at6231	Complete	X	3117441	3127101	4236.6	2177
35at6231	Complete	V	6882007	6891840	3884.2	1953
39at6231	Complete	X	2303075	2311532	2368.5	1328
40at6231	Complete	V	9112725	9122454	2653.0	1935
43at6231	Complete	I	8083565	8095548	3366.9	1864	https://www.orthodb.org/v10?query=43at6231	CRE-RME-8 protein
45at6231	Complete	III	7479684	7489091	2803.7	1762
48at6231	Complete	I	15005606	15013927	2915.8	1768
49at6231	Duplicated	X	11426782	11433810	1771.6	1135
49at6231	Duplicated	X	11420481	11426430	1570.1	838
55at6231	Complete	III	12251493	12265994	2376.2	1273
57at6231	Complete	I	6900950	6913776	3283.8	1869
60at6231	Complete	IV	3998491	4005425	3070.5	1626
63at6231	Complete	IV	12653634	12674770	4176.5	2606
65at6231	Complete	X	7244795	7257017	2470.0	1602
67at6231	Complete	X	10095526	10104135	3086.5	1553
68at6231	Complete	I	5906662	5918243	2411.8	1488	https://www.orthodb.org/v10?query=68at6231	Hypothetical protein CBG04027
72at6231	Complete	III	10203803	10209705	3089.2	1485	https://www.orthodb.org/v10?query=72at6231	Clathrin heavy chain
74at6231	Complete	I	13899164	13914007	3095.0	1530
76at6231	Complete	I	11764298	11784054	2898.5	2228
86at6231	Complete	X	2909521	2918037	3066.2	1760	https://www.orthodb.org/v10?query=86at6231	CRE-NMY-1 protein
88at6231	Complete	V	12226821	12234355	3219.7	1697
90at6231	Complete	IV	4247923	4258174	3312.5	1771
91at6231	Complete	IV	10483997	10492922	2233.6	1456
92at6231	Complete	III	5908635	5914819	2414.8	1384	https://www.orthodb.org/v10?query=92at6231	DEAD/DEAH box helicase
96at6231	Complete	IV	12096746	12105760	2150.8	1377	https://www.orthodb.org/v10?query=96at6231	Monensin-resistant homolog 2
97at6231	Missing
100at6231	Complete	II	8770428	8782007	2875.1	2023
101at6231	Complete	X	16541138	16551182	2466.5	1487
107at6231	Complete	II	6995859	7010624	2526.8	1329
112at6231	Complete	X	17402540	17413846	1805.4	1411	https://www.orthodb.org/v10?query=112at6231	CRE-CRB-1 protein
117at6231	Complete	I	3807461	3816846	2223.1	1524	https://www.orthodb.org/v10?query=117at6231	putative ATP-dependent Clp protease adaptor protein ClpS
119at6231	Duplicated	I	146548	154896	2299.6	1262	https://www.orthodb.org/v10?query=119at6231	Dual oxidase 1
119at6231	Duplicated	I	137547	144636	2133.4	1258	https://www.orthodb.org/v10?query=119at6231	Dual oxidase 1
121at6231	Complete	I	14994738	15001678	1948.0	1160
125at6231	Complete	V	6260753	6269311	2032.5	1215
127at6231	Complete	X	3171423	3178819	2271.2	1277
131at6231	Complete	II	11869836	11874725	1579.8	1035
132at6231	Complete	III	8071393	8080333	2401.7	1486
137at6231	Complete	III	11751255	11773692	2294.2	1384
139at6231	Complete	X	7847682	7861671	2726.1	1372
144at6231	Complete	IV	9386059	9394932	1366.0	1126
146at6231	Complete	II	7012788	7022550	1708.4	1165
147at6231	Complete	X	11826628	11836131	1632.7	1246
149at6231	Complete	II	5083848	5091690	1514.9	898
151at6231	Complete	III	4602757	4612397	2236.9	1248
152at6231	Complete	II	9015033	9019800	1219.1	745
161at6231	Complete	II	14350720	14357597	2121.2	1245
164at6231	Complete	X	15234830	15246409	2013.1	1207	https://www.orthodb.org/v10?query=164at6231	CRE-PIKI-1 protein
165at6231	Complete	X	14708799	14718784	1691.1	1019
166at6231	Complete	III	9119514	9125084	1950.8	1154
170at6231	Complete	III	8193844	8201987	1436.1	938
172at6231	Complete	IV	2009039	2033962	1904.6	1179
174at6231	Complete	III	4991504	4998262	1799.7	1222
175at6231	Complete	I	7442122	7452834	2038.2	950
181at6231	Complete	II	10812957	10820275	1505.0	1015
183at6231	Complete	III	6383177	6389411	1837.0	1352
184at6231	Complete	II	6546195	6554867	1754.2	1263
185at6231	Complete	III	4263786	4269495	2247.4	1134
189at6231	Complete	X	5496060	5505253	1799.8	1285	https://www.orthodb.org/v10?query=189at6231	putative myosin head
190at6231	Complete	II	5466339	5473802	1731.3	1090	https://www.orthodb.org/v10?query=190at6231	Protein-tyrosine phosphatase
194at6231	Complete	IV	11038771	11047517	1804.6	1052
196at6231	Complete	III	8139633	8144681	1899.6	1047
197at6231	Complete	II	10222783	10229437	1908.6	1050
198at6231	Complete	II	6092859	6097257	1589.2	1075
199at6231	Complete	V	9634859	9645539	3444.7	2288
201at6231	Complete	II	6766723	6772598	1477.4	864
